name,processed_text,sentiment_label
"The Mayfair Hotel Times Square, Ascend Hotel Collection",mayfair hotel time squar ascend hotel collect,Very Good
Aloft New York Chelsea,aloft new york chelsea,Very Good
Hilton Garden Inn New York/Midtown Park Avenue,hilton garden inn new yorkmidtown park avenu,Very Good
Courtyard by Marriott New York World Trade Center Area,courtyard marriott new york world trade center area,Very Good
Wingate by Wyndham New York Midtown South/5th Ave,wingat wyndham new york midtown south5th ave,Very Good
"The Historic Blue Angel Hotel Lexington Ave, Ascend Hotel Collection",histor blue angel hotel lexington ave ascend hotel collect,Excellent
Element Times Square West,element time squar west,Very Good
Hyatt Place New York City - Times Square,hyatt place new york citi time squar,Good
Hilton Garden Inn New York - Times Square Central,hilton garden inn new york time squar central,Good
Hampton Inn Times Square Central,hampton inn time squar central,Very Good
Citadines Connect Fifth Avenue New York,citadin connect fifth avenu new york,Good
Hyatt Place New York/Midtown-South,hyatt place new yorkmidtownsouth,Very Good
Hampton Inn Manhattan-35th St Empire State Bldg,hampton inn manhattan35th st empir state bldg,Very Good
Delta Hotels by Marriott New York Times Square,delta hotel marriott new york time squar,Good
Four Points by Sheraton New York Downtown,four point sheraton new york downtown,Good
Hyatt Centric Midtown 5th Avenue New York,hyatt centric midtown 5th avenu new york,Very Good
Motto By Hilton New York City Times Square,motto hilton new york citi time squar,Very Good
"U Hotel Fifth Avenue, Empire State Building",u hotel fifth avenu empir state build,Very Good
DoubleTree by Hilton New York Times Square South,doubletre hilton new york time squar south,Very Good
M Social Hotel Times Square New York,social hotel time squar new york,Very Good
La Quinta by Wyndham Time Square South,la quinta wyndham time squar south,Very Good
Holiday Inn Express Manhattan Midtown West by IHG,holiday inn express manhattan midtown west ihg,Good
Holiday Inn New York City - Times Square by IHG,holiday inn new york citi time squar ihg,Good
Motto by Hilton New York City Chelsea,motto hilton new york citi chelsea,Excellent
Hilton New York Fashion District,hilton new york fashion district,Good
Hotel Edison Times Square,hotel edison time squar,Good
AC Hotel by Marriott New York Downtown,ac hotel marriott new york downtown,Very Good
