name,price,address,distance,rating,review_count,numeric_review_count,numeric_score,stars,room_type,snapshot_date,check_in,check_out,ttt,los
"The Mayfair Hotel Times Square, Ascend Hotel Collection",US$125,"Manhattan, New York",0.8 km from downtown,"Scored 8.5
8.5
Very Good
2,218 reviews","2,218 review",2218,8.5,3 stars,Queen Room - Non Smoking,4/10/2025,4/11/2025,4/12/2025,1,1
Aloft New York Chelsea,US$143,"Chelsea, New York",2.5 km from downtown,"Scored 8.3
8.3
Very Good
234 reviews",234 review,234,8.3,4 stars,King Room,4/10/2025,4/11/2025,4/12/2025,1,1
Hilton Garden Inn New York/Midtown Park Avenue,US$150,"Manhattan, New York",2.4 km from downtown,"Scored 8.1
8.1
Very Good
2,244 reviews","2,244 review",2244,8.1,3 stars,King Room,4/10/2025,4/11/2025,4/12/2025,1,1
Courtyard by Marriott New York World Trade Center Area,US$140,"Manhattan, New York",7.2 km from downtown,"Scored 8.4
8.4
Very Good
2,044 reviews","2,044 review",2044,8.4,3 stars,King Room,4/10/2025,4/11/2025,4/12/2025,1,1
Wingate by Wyndham New York Midtown South/5th Ave,US$151,"Manhattan, New York",1.9 km from downtown,"Scored 8.4
8.4
Very Good
2,386 reviews","2,386 review",2386,8.4,3 stars,Queen Room - Non-Smoking,4/10/2025,4/11/2025,4/12/2025,1,1
"The Historic Blue Angel Hotel Lexington Ave, Ascend Hotel Collection",US$130,"Midtown East, New York",1.5 km from downtown,"Scored 8.7
8.7
Excellent
1,258 reviews","1,258 review",1258,8.7,3 stars,Queen Room - Non-Smoking,4/10/2025,4/11/2025,4/12/2025,1,1
Element Times Square West,US$161,"Hell's Kitchen, New York",1.6 km from downtown,"Scored 8.0
8.0
Very Good
7,734 reviews","7,734 review",7734,8,4 stars,"Guest Room, 1 King",4/10/2025,4/11/2025,4/12/2025,1,1
Hyatt Place New York City - Times Square,US$174,"Hell's Kitchen, New York",1.7 km from downtown,"Scored 7.8
7.8
Good
21,638 reviews","21,638 review",21638,7.8,4 stars,King Room - High Floor,4/10/2025,4/11/2025,4/12/2025,1,1
Hilton Garden Inn New York - Times Square Central,US$139,"Manhattan, New York",1.5 km from downtown,"Scored 7.7
7.7
Good
1,778 reviews","1,778 review",1778,7.7,3 stars,Queen Room with City View,4/10/2025,4/11/2025,4/12/2025,1,1
Hampton Inn Times Square Central,US$169,"Manhattan, New York",1.5 km from downtown,"Scored 8.4
8.4
Very Good
2,829 reviews","2,829 review",2829,8.4,3 stars,King Room with Roll-In Shower - Mobility and Hearing Access/Non-Smoking,4/10/2025,4/11/2025,4/12/2025,1,1
Citadines Connect Fifth Avenue New York,US$161,"Manhattan, New York",1.4 km from downtown,"Scored 7.5
7.5
Good
3,243 reviews","3,243 review",3243,7.5,3 stars,Premier Room with Two Double Beds,4/10/2025,4/11/2025,4/12/2025,1,1
Hyatt Place New York/Midtown-South,US$169,"Manhattan, New York",2 km from downtown,"Scored 8.3
8.3
Very Good
2,914 reviews","2,914 review",2914,8.3,4 stars,King Room,4/10/2025,4/11/2025,4/12/2025,1,1
Hampton Inn Manhattan-35th St Empire State Bldg,US$173,"Manhattan, New York",2 km from downtown,"Scored 8.3
8.3
Very Good
6,519 reviews","6,519 review",6519,8.3,3 stars,King Room with Roll-In Shower - Mobility Access/Non-Smoking,4/10/2025,4/11/2025,4/12/2025,1,1
Delta Hotels by Marriott New York Times Square,US$169,"Hell's Kitchen, New York",1.6 km from downtown,"Scored 7.9
7.9
Good
3,861 reviews","3,861 review",3861,7.9,4 stars,King Room,4/10/2025,4/11/2025,4/12/2025,1,1
Four Points by Sheraton New York Downtown,US$159,"Manhattan, New York",7 km from downtown,"Scored 7.9
7.9
Good
2,059 reviews","2,059 review",2059,7.9,3 stars,"Guest room, 1 Queen",4/10/2025,4/11/2025,4/12/2025,1,1
Hyatt Centric Midtown 5th Avenue New York,US$172,"Manhattan, New York",1.9 km from downtown,"Scored 8.0
8.0
Very Good
1,223 reviews","1,223 review",1223,8,4 stars,Standard King Room,4/10/2025,4/11/2025,4/12/2025,1,1
Motto By Hilton New York City Times Square,US$159,"Manhattan, New York",1 km from downtown,"Scored 8.0
8.0
Very Good
1,248 reviews","1,248 review",1248,8,3 stars,Queen Room,4/10/2025,4/11/2025,4/12/2025,1,1
"U Hotel Fifth Avenue, Empire State Building",US$123,"Manhattan, New York",2.1 km from downtown,"Scored 8.0
8.0
Very Good
3,351 reviews","3,351 review",3351,8,3 stars,Queen Room,4/10/2025,4/11/2025,4/12/2025,1,1
DoubleTree by Hilton New York Times Square South,US$188,"Hell's Kitchen, New York",1.8 km from downtown,"Scored 8.2
8.2
Very Good
6,444 reviews","6,444 review",6444,8.2,4 stars,King Room,4/10/2025,4/11/2025,4/12/2025,1,1
M Social Hotel Times Square New York,US$199,"Manhattan, New York",0.6 km from downtown,"Scored 8.4
8.4
Very Good
12,015 reviews","12,015 review",12015,8.4,4 stars,Social City View King,4/10/2025,4/11/2025,4/12/2025,1,1
La Quinta by Wyndham Time Square South,US$159,"Hell's Kitchen, New York",1.7 km from downtown,"Scored 8.5
8.5
Very Good
4,356 reviews","4,356 review",4356,8.5,3 stars,King Room - Non-Smoking,4/10/2025,4/11/2025,4/12/2025,1,1
Doubletree By Hilton New York Times Square West,US$169,"Hell's Kitchen, New York",1.6 km from downtown,"Scored 6.9
6.9
Review score
10,605 reviews","10,605 review",10605,6.9,4 stars,One King Bed Hearing Accessible,4/10/2025,4/11/2025,4/12/2025,1,1
Holiday Inn Express Manhattan Midtown West by IHG,US$159,"Hell's Kitchen, New York",1.1 km from downtown,"Scored 7.4
7.4
Good
1,857 reviews","1,857 review",1857,7.4,3 stars,King Room with Accessible Roll in Shower - Non-Smoking,4/10/2025,4/11/2025,4/12/2025,1,1
Holiday Inn New York City - Times Square by IHG,US$164,"Hell's Kitchen, New York",1.6 km from downtown,"Scored 7.9
7.9
Good
2,054 reviews","2,054 review",2054,7.9,3 stars,Standard Room,4/10/2025,4/11/2025,4/12/2025,1,1
Motto by Hilton New York City Chelsea,US$170,"Chelsea, New York",2.8 km from downtown,"Scored 8.6
8.6
Excellent
3,104 reviews","3,104 review",3104,8.6,4 stars,King Room,4/10/2025,4/11/2025,4/12/2025,1,1
Hilton New York Fashion District,US$169,"Chelsea, New York",2.7 km from downtown,"Scored 7.6
7.6
Good
881 reviews",881 review,881,7.6,4 stars,King Room,4/10/2025,4/11/2025,4/12/2025,1,1
Hotel Edison Times Square,US$159,"Manhattan, New York",1 km from downtown,"Scored 7.7
7.7
Good
12,933 reviews","12,933 review",12933,7.7,4 stars,Signature 1 Queen Bed,4/10/2025,4/11/2025,4/12/2025,1,1
AC Hotel by Marriott New York Downtown,US$158,"Manhattan, New York",7.2 km from downtown,"Scored 8.5
8.5
Very Good
1,565 reviews","1,565 review",1565,8.5,4 stars,King Guest Room - One King Bed - Non-Smoking,4/10/2025,4/11/2025,4/12/2025,1,1
